claim_no,policy_no,plate_no,source_file,class_of_business,vehicle_type_group,vehicle_type,accident_type,branch_name,sum_insured_numeric,reporting_lag_days,coverage_duration_days,is_comprehensive,policy_type,accident_date,notification_date,period_from,period_to,od_total,tp_bi_total,tp_pd_total,total_claim_severity,log_claim_severity
TAD/MTP/013/24,TAD/MTC/9316/0924,03-32916/05517ET,May_2025,Commercial,Truck,Truck/Trailer,Collision,Adama,6000000.0,1.0,183.0,1,COMPREHENSIVE,2024-10-02 00:00:00,2024-10-03,2024-07-02,2025-01-01,81830.82,0.0,0.0,81830.82,11.312409224245997
TAD/MTP/018/23,,03-81081/24733ET,September_2024,Commercial,Truck,Tanker/Trailer,Breaking_Glass,Adama,4600000.0,2.0,365.0,1,COMPREHENSIVE,2023-10-25 00:00:00,2023-10-27,2023-04-26,2024-04-25,67970.0,0.0,0.0,67970.0,11.126821710340684
TAD/TPCL/001/25,TAD/MTT/9301/0624,02-C05798 AA,April_2025,Commercial,Automobile,Private,Collision,Adama,0.0,5.0,364.0,0,TP_ONLY,2025-01-04 00:00:00,2025-01-09,2024-06-25,2025-06-24,0.0,0.0,30391.3,30391.3,10.32191166222527
TAD/TPCL/0012/22,TAD/MTT/3587/0819,MROHR29G402019399,June_2025,Commercial,Automobile,Automobile,Collision,Adama,0.0,,365.0,0,TP_ONLY,2019-08-28 00:00:00,2022-08-13,2019-08-27,2020-08-26,0.0,0.0,5360.0,5360.0,8.586719254064848
TAD/TPCL/003/25,TAD/MTC/6048/0721,03-33338/11359 ET,February_2025,Commercial,Truck,Truck/Trailer,Collision,Adama,0.0,27.0,364.0,0,TP_ONLY,2024-12-18 00:00:00,2025-01-14,2024-03-23,2025-03-22,0.0,0.0,80000.0,80000.0,11.289781913656018
TAD/TPCL/004/24,TAD/MTC/8446/1223,03-89437OR,April_2025,Public_Transport,Bus_Minibus,Minibus,Collision,Adama,0.0,1.0,365.0,0,TP_ONLY,2024-02-29 00:00:00,2024-03-01,2023-12-22,2024-12-21,0.0,0.0,33340.05,33340.05,10.41451465600372
TAD/TPCL/005/24,TAD/MTT/7658/0123,01-91171OR,July_2024,Public_Transport,Automobile,Automobile,Collision,Adama,0.0,,364.0,0,TP_ONLY,2023-01-15 00:00:00,2024-03-18,2023-02-04,2024-02-03,0.0,0.0,12580.0,12580.0,9.439863530254431
TAD/TPCL/007/24,TAD/MTT/4556/1120,03-41929/01805 ET,August_2024,Commercial,Truck,Truck/Trailer,Collision,Adama,0.0,1.0,364.0,0,TP_ONLY,2024-04-19 00:00:00,2024-04-20,2024-03-30,2025-03-29,0.0,0.0,70393.61,70393.61,11.161857770981102
TAD/TPCL/009/24,TAD/MTT/8324/1123,02-B54804 AA,August_2024,Private,Automobile,Automobile,Collision,Adama,0.0,8.0,365.0,0,TP_ONLY,2024-05-10 00:00:00,2024-05-18,2023-12-01,2024-11-30,0.0,0.0,8000.0,8000.0,8.987196820661973
TAD/TPCL/011/24,TAD/MTC/3491/0619,03-58798/01636 ET,February_2025,Commercial,Truck,Tracker/Trailer,Collision,Adama,0.0,4.0,365.0,0,TP_ONLY,2024-06-02 00:00:00,2024-06-06,2023-08-08,2024-08-07,0.0,0.0,40000.0,40000.0,10.596634733096073
TAD/TPCL/019/24,TAD/MTT/4031/1122,03-60019/20651 ET,January_2025,Commercial,Truck,Truck/Trailer,Collision,Adama,0.0,4.0,365.0,0,TP_ONLY,2024-11-09 00:00:00,2024-11-13,2023-11-26,2024-11-25,0.0,0.0,100000.0,100000.0,11.512925464970229
TAD/TPCL/026/23,TAD//MTC/7800/0323,03-57446/17707ET,August_2024,Commercial,Truck,Tanker/Trailer,Collision,Adama,0.0,2.0,,0,TP_ONLY,2023-10-29 00:00:00,2023-10-31,2023-10-19,2023-10-18,0.0,0.0,11359.5,11359.5,9.337809677221989
TAG/MTC/004/25,TAG/MTC/0319/1220,03-B68675AA,May_2025,Commercial,Pick_Up,P/Up,Collision,Addisu Gebeya,8500000.0,0.0,364.0,1,COMPREHENSIVE,2025-03-18 00:00:00,2025-03-18,2025-01-01,2025-12-31,24000.0,0.0,0.0,24000.0,10.085809109330082
TAG/MTC/005/25,TAG/MTC/0319/1220,03-69119ET,June_2025,Commercial,Truck,Miter Truck,Collision,Addisu Gebeya,4000000.0,2.0,,1,COMPREHENSIVE,2025-04-17 00:00:00,2025-04-19,2025-01-01,,690.0,0.0,0.0,690.0,6.536691597591305
TAG/MTC/009/23,TAG/MTC/0319/1220,03-A70011AA,July_2024,Commercial,Automobile,Automobile,Collision,Addisu Gebeya,1600000.0,7.0,335.0,1,COMPREHENSIVE,2023-09-11 00:00:00,2023-09-18,2023-11-03,2024-10-03,4216.3,0.0,0.0,4216.3,8.34671324518488
TAG/MTC/013/24,TAG/MTC/0319/1220,03-29029 AA,July_2024,Commercial,Automobile,Automobile,Collision,Addisu Gebeya,1900000.0,3.0,335.0,1,COMPREHENSIVE,2024-03-15 00:00:00,2024-03-18,2024-12-03,2025-11-03,17500.0,0.0,0.0,17500.0,9.769956159911606
TAG/MTC/014/24,TAG/MTC/0319/1220,03-69119 ET,July_2024,Commercial,Automobile,Automobile,Collision,Addisu Gebeya,4000000.0,4.0,365.0,1,COMPREHENSIVE,2024-03-16 00:00:00,2024-03-20,2023-10-31,2024-10-30,17800.0,0.0,0.0,17800.0,9.786953736280177
TAG/MTC/015/24,TAG/MTC/0872/0823,03-A21353 ET,August_2024,Commercial,Truck,Truck,Collision,Addisu Gebeya,9000000.0,5.0,365.0,1,COMPREHENSIVE,2024-03-16 00:00:00,2024-03-21,2023-08-23,2024-08-22,4370.0,0.0,0.0,4370.0,8.382518288089635
TAG/MTC/016/23,TAG/MTP/0317/1220,03-A33322AA,July_2024,Private,Automobile,Automobile,Collision,Addisu Gebeya,1300000.0,30.0,336.0,1,COMPREHENSIVE,2023-11-12 00:00:00,2023-12-12,2023-07-05,2024-06-05,3000.0,0.0,0.0,3000.0,8.006367567650246
TAG/MTC/017/24,TAG/MTC/0319/1220,03-B38259AA,July_2024,Commercial,Automobile,Automobile,Collision,Addisu Gebeya,4000000.0,1.0,365.0,1,COMPREHENSIVE,2024-05-14 00:00:00,2024-05-15,2024-01-01,2024-12-31,36415.71,0.0,0.0,36415.71,10.50275555392178
TAG/MTC/018/24,TAG/MTP/0317/1220,03-B54696AA,July_2024,Private,Automobile,Automobile,Collision,Addisu Gebeya,2400000.0,55.0,336.0,1,COMPREHENSIVE,2024-06-07 00:00:00,2024-08-01,2023-12-10,2024-11-10,11500.0,0.0,0.0,11500.0,9.35010231435134
TAG/MTC/019/24,TAG/MTC/0319/1220,03-26053ET,October_2024,Commercial,Truck,Tipper,Collision,Addisu Gebeya,2200000.0,2.0,334.0,1,COMPREHENSIVE,2024-07-25 00:00:00,2024-07-27,2024-11-01,2025-10-01,8051.32,0.0,0.0,8051.32,8.993591332125431
TAG/MTC/020/24,,03-B49604AA,September_2024,Private,Automobile,Dzire,Collision,Addisu Gebeya,2200000.0,2.0,365.0,1,COMPREHENSIVE,2024-08-03 00:00:00,2024-08-05,2024-01-01,2024-12-31,144646.69,0.0,0.0,144646.69,11.882049427321864
TAG/MTC/021/24,TAG/MTC/0705/1022,03-13963/05778 ET,August_2024,Commercial,Truck,Truck/Trailer,Collision,Addisu Gebeya,2200000.0,0.0,364.0,1,COMPREHENSIVE,2024-08-06 00:00:00,2024-08-06,2024-03-30,2025-03-29,330190.0,0.0,0.0,330190.0,12.70742352533362
TAG/MTC/023/24,TAG/MTC/0317/1220,03-B54666AA,October_2024,Private,Automobile,Swifit,Collision,Addisu Gebeya,2400000.0,2.0,335.0,1,COMPREHENSIVE,2024-08-22 00:00:00,2024-08-24,2023-04-11,2024-03-11,60723.06,0.0,0.0,60723.06,11.01407880605663
TAG/MTC/030/24,TAG/MTC/0319/1220,03-B68674AA,January_2025,Commercial,Pick_Up,P/Up,Collision,Addisu Gebeya,7500000.0,3.0,365.0,1,COMPREHENSIVE,2024-11-09 00:00:00,2024-11-12,2024-01-01,2024-12-31,28000.0,0.0,0.0,28000.0,10.23995978915734
TAG/MTC/031/24,TAG/MTC/1071/0724,03-A29517ET,January_2025,Commercial,Bus_Minibus,Bus,Collision,Addisu Gebeya,23000000.0,1.0,364.0,1,COMPREHENSIVE,2024-12-12 00:00:00,2024-12-13,2024-07-19,2025-07-18,56000.0,0.0,0.0,56000.0,10.933106969717286
TAG/MTCL/0046/21,TAG/MTC/0226/1020,03-93901 ET,March_2025,Commercial,Truck,Truck,Collision,Addisu Gebeya,2500000.0,4.0,364.0,1,COMPREHENSIVE,2021-08-21 00:00:00,2021-08-25,2020-10-31,2021-10-30,6110.0,14170.0,8060.0,28340.0,10.252029513244672
TAG/MTCL/0056/21,,03-A02001 ET,September_2024,Public_Transport,Bus_Minibus,Bus,Collision,Addisu Gebeya,2700000.0,0.0,364.0,1,COMPREHENSIVE,2021-10-26 00:00:00,2021-10-26,2021-08-03,2022-08-02,100000.0,0.0,0.0,100000.0,11.512925464970229
TAG/MTP/001/24,,03-A08168 ET,September_2024,Commercial,Not_Specified,Not_Specified,Overturning,Addisu Gebeya,20000.0,0.0,365.0,1,COMPREHENSIVE,2024-03-07 00:00:00,2024-03-07,2023-04-12,2024-04-11,105636.92,0.0,0.0,105636.92,11.567763210363164
TAG/MTP/001/25,TAG/MTC/0339/0221,03-A07679/32475ET,January_2025,Commercial,Not_Specified,Not_Specified,Collision,Addisu Gebeya,2000000.0,31.0,335.0,1,COMPREHENSIVE,2025-03-01 00:00:00,2025-04-01,2024-05-02,2025-04-02,14861.99,0.0,0.0,14861.99,9.606562225860236
TAG/MTP/002/24,,03-B68825AA,September_2024,Public_Transport,Not_Specified,Not_Specified,Collision,Addisu Gebeya,2200000.0,0.0,365.0,1,COMPREHENSIVE,2024-10-03 00:00:00,2024-10-03,2023-10-31,2024-10-30,5000.0,0.0,0.0,5000.0,8.517193191416238
TAG/MTP/002/25, TAG/MTC/1148/1124 ,03-B85249AA,April_2025,Public_Transport,Automobile,Automobile,Collision,Addisu Gebeya,1700000.0,2.0,364.0,1,COMPREHENSIVE,2025-02-01 00:00:00,2025-02-03,2024-12-01,2025-11-30,141200.0,0.0,0.0,141200.0,11.85793260404128
TAG/MTP/003/24,TAG/MTC/0121/0720,02-B63160AA,August_2024,Private,Automobile,Automobile,Other,Addisu Gebeya,1100000.0,1.0,365.0,1,COMPREHENSIVE,2024-03-17 00:00:00,2024-03-18,2023-07-30,2024-07-29,8684.21,0.0,0.0,8684.21,9.069261713110215
TAG/MTP/004/23,TAG/MTC/0745/1222,03-A05930ET,July_2024,Commercial,Automobile,Automobile,Collision,Addisu Gebeya,6000000.0,1.0,364.0,1,COMPREHENSIVE,2023-02-07 00:00:00,2023-02-08,2022-12-18,2023-12-17,27900.0,0.0,0.0,27900.0,10.236381967809455
TAG/MTP/005/24,,03-A07679/32475ET,September_2024,Commercial,Not_Specified,Not_Specified,Collision,Addisu Gebeya,10000000.0,,335.0,1,COMPREHENSIVE,2024-03-30 00:00:00,2024-01-04,2024-05-02,2025-04-02,9203.75,0.0,0.0,9203.75,9.127366288682929
TAG/MTP/008/25, TAG/MTC/1114/0824 ,02-A05275AA,May_2025,Private,Automobile,Corolla,Collision,Addisu Gebeya,2000000.0,4.0,364.0,1,COMPREHENSIVE,2025-03-06 00:00:00,2025-03-10,2024-09-26,2025-09-25,26272.6,0.0,0.0,26272.6,10.176281849993808
TAG/MTP/009/24,TAG/MTP0/1681020,02-B67106AA,February_2025,Private,Automobile,Automobile,Collision,Addisu Gebeya,4500000.0,0.0,,1,COMPREHENSIVE,2024-08-26 00:00:00,2024-08-26,,,105180.21,0.0,0.0,105180.21,11.563430443718635
TAG/MTP/009/25, TAG/MTC/1114/0824 ,03-55990ET,April_2025,Commercial,Truck,Truck,Overturning,Addisu Gebeya,7700000.0,0.0,364.0,1,COMPREHENSIVE,2025-03-28 00:00:00,2025-03-28,2024-04-27,2025-04-26,280000.0,0.0,0.0,280000.0,12.542544882151386
TAG/MTP/010/23,TAG/MTP/0801/0323,02-A90682AA,May_2025,Private,Automobile,Automobile,Collision,Addisu Gebeya,1000000.0,1.0,365.0,1,COMPREHENSIVE,2023-04-19 00:00:00,2023-04-20,2023-03-12,2024-03-11,5597.5,0.0,0.0,5597.5,8.63007534847291
TAG/MTP/014/23,TAG/MTT/0168/1020,02-B67106AA,February_2025,Private,Automobile,Automobile,Collision,Addisu Gebeya,3300000.0,0.0,364.0,1,COMPREHENSIVE,2023-05-04 00:00:00,2023-05-04,2021-10-19,2022-10-18,9000.0,0.0,0.0,9000.0,9.104979856318357
TAG/MTP/016/24,TAG/MTC/0559/0122,03-B34284AA,May_2025,Public_Transport,Automobile,Automobile,Collision,Addisu Gebeya,2000000.0,0.0,335.0,1,COMPREHENSIVE,2024-12-31 00:00:00,2024-12-31,2024-02-01,2025-01-01,34751.89,0.0,0.0,34751.89,10.455989238003149
TAG/MTP/019/23,TAG/MTP/0758/0123,02-C23327 AA,July_2024,Private,Automobile,Automobile,Collision,Addisu Gebeya,800000.0,3.0,364.0,1,COMPREHENSIVE,2023-09-19 00:00:00,2023-09-22,2023-01-11,2024-01-10,3000.0,0.0,0.0,3000.0,8.006367567650246
TAG/MTP/026/22,TAG/MTT/0340/0221,03-A07274ET,July_2024,Commercial,Automobile,Automobile,Collision,Addisu Gebeya,3800000.0,3.0,364.0,1,COMPREHENSIVE,2022-08-13 00:00:00,2022-08-16,2022-02-05,2023-02-04,6300.0,0.0,0.0,6300.0,8.748304912379623
TAG/MTP/028/22,TAG/MTC/0282/1220,03-B07376AA,July_2024,Public_Transport,Automobile,Automobile,Collision,Addisu Gebeya,800000.0,3.0,364.0,1,COMPREHENSIVE,2022-08-25 00:00:00,2022-08-28,2021-12-02,2022-12-01,3000.0,0.0,0.0,3000.0,8.006367567650246
TAG/TPCL/001/25,TAG/MTC/0167/1020,03-A80791AA,April_2025,Public_Transport,Automobile,Automobile,Collision,Addisu Gebeya,0.0,4.0,364.0,0,TP_ONLY,2024-12-21 00:00:00,2024-12-25,2024-10-15,2025-10-14,0.0,0.0,33055.0,33055.0,10.405928119767678
TAG/TPCL/004/25,TAG/MTT/0831/0523,03-B62375AA,February_2025,Public_Transport,Automobile,Automobile,Collision,Addisu Gebeya,0.0,,334.0,0,TP_ONLY,2025-08-02 00:00:00,,2024-09-05,2025-08-05,0.0,0.0,20681.82,20681.82,9.937010332486857
TAG/TPCL/005/25,TAG/MTC/1096/0824,03-73420 ET,April_2025,Public_Transport,Bus_Minibus,Bus,Collision,Addisu Gebeya,0.0,1.0,364.0,0,TP_ONLY,2025-03-03 00:00:00,2025-03-04,2024-08-17,2025-08-16,0.0,0.0,142804.09,142804.09,11.869228969934046
TAG/TPCL/009/25,TAG/MTT/0319/1220,02-0265LD,June_2025,Commercial,Special_Purpose,Wheel :Loder,Collision,Addisu Gebeya,0.0,4.0,364.0,0,TP_ONLY,2025-05-03 00:00:00,2025-05-07,2025-03-31,2026-03-30,0.0,0.0,16010.0,16010.0,9.68096880599076
TAG/TPCL/010/25,TAG/MTC/0319/1220,03-A39239 AA,June_2025,Commercial,Pick_Up,Pick Up,Collision,Addisu Gebeya,0.0,1.0,364.0,0,TP_ONLY,2025-05-21 00:00:00,2025-05-22,2024-11-12,2025-11-11,0.0,0.0,109500.0,109500.0,11.603679828238691
TAG/TPCL/015/24,TAG/MTT/0029/0220,03-48930 E.T,January_2025,Public_Transport,Bus_Minibus,Bus,Collision,Addisu Gebeya,0.0,3.0,364.0,0,TP_ONLY,2024-03-31 00:00:00,2024-04-03,2024-03-02,2025-03-01,0.0,161930.69999999998,140809.34,302740.04,12.620629762443125
TAG/TPCL/018/24,TAG/MTT/0038/0320,03-88982/27125 E.T,July_2024,Commercial,Automobile,Automobile,Collision,Addisu Gebeya,0.0,1.0,364.0,0,TP_ONLY,2024-04-26 00:00:00,2024-04-27,2024-03-17,2025-03-16,0.0,0.0,100000.0,100000.0,11.512925464970229
TAG/TPCL/020/24,TAG/MTT/0590/0322,03-A12541 E.T,August_2024,Commercial,Truck,Truck,Collision,Addisu Gebeya,0.0,0.0,364.0,0,TP_ONLY,2024-05-15 00:00:00,2024-05-15,2024-03-16,2025-03-15,0.0,35000.0,500.0,35500.0,10.477287975463508
TAG/TPCL/022/24,TAG/MTT/0318/1229,03-42414 AA,August_2024,Commercial,Bus_Minibus,Van,Collision,Addis Ababa,0.0,62.0,365.0,0,TP_ONLY,2024-07-07 00:00:00,2024-09-07,2024-01-25,2025-01-24,0.0,0.0,103500.0,103500.0,11.54732689168756
TAG/TPCL/025/24,TAG/MTT/0319/1220,03-28704 ET,August_2024,Commercial,Truck,Tipper,Collision,Addis Ababa,0.0,3.0,365.0,0,TP_ONLY,2024-07-20 00:00:00,2024-07-23,2024-01-02,2025-01-01,0.0,0.0,44150.0,44150.0,10.695348206032106
TAG/TPCL/026/24,TAG/MTT/0541/1221,03-77922ET,August_2024,Commercial,Truck,Trucker,Collision,Addis Ababa,0.0,,364.0,0,TP_ONLY,2022-08-16 00:00:00,2024-07-24,2021-12-16,2022-12-15,0.0,0.0,20000.0,20000.0,9.903487552536127
TAG/TPCL/029/24,TAG/MTT/0872/0823,03-A29601 ET,August_2024,Commercial,Truck,Mixer,Collision,Addisu Gebeya,0.0,3.0,364.0,0,TP_ONLY,2024-08-02 00:00:00,2024-08-05,2024-07-18,2025-07-17,0.0,0.0,42956.28,42956.28,10.667938133254657
TAG/TPCL/030/24,TAG/MTT/0319/1220,03-28704 ET,October_2024,Commercial,Truck,Tipper,Collision,Addisu Gebeya,0.0,1.0,365.0,0,TP_ONLY,2024-08-07 00:00:00,2024-08-08,2024-01-02,2025-01-01,0.0,0.0,9340.58,9340.58,9.142123627795929
TAG/TPCL/031/24,TAG/MTC/0924/1224,03-B74586 AA,January_2025,Public_Transport,Bus_Minibus,Van,Collision,Addisu Gebeya,0.0,4.0,,0,TP_ONLY,2024-08-08 00:00:00,2024-08-12,2024-03-01,,0.0,0.0,16500.0,16500.0,9.711115659888671
TAG/TPCL/033/24,TAG/MTC/0705/1022,03-13963/05728 ET,August_2024,Commercial,Truck,Truck/Trailer,Collision,Addisu Gebeya,0.0,1.0,364.0,0,TP_ONLY,2024-08-13 00:00:00,2024-08-14,2024-03-30,2025-03-29,0.0,0.0,5090.0,5090.0,8.53503310954457
TAG/TPCL/034/23,,03-13976/05729ET,September_2024,Commercial,Truck,Truck/Trailer,Collision,Addisu Gebeya,0.0,2.0,365.0,0,TP_ONLY,2023-11-25 00:00:00,2023-11-27,2023-03-30,2024-03-29,0.0,0.0,251971.52,251971.52,12.43707134423377
TAG/TPCL/034/24,TAG/MTT/0899/0923,03-46297 OR,January_2025,Public_Transport,Bus_Minibus,Minibus,Collision,Addisu Gebeya,0.0,1.0,365.0,0,TP_ONLY,2024-08-15 00:00:00,2024-08-16,2023-09-23,2024-09-22,0.0,0.0,86956.52,86956.52,11.37316350259507
TAG/TPCL/036/24,TAG/MTP/0317/1220,03-B54666 AA,March_2025,Private,Automobile,Automobile,Collision,Addisu Gebeya,0.0,2.0,365.0,0,TP_ONLY,2024-08-22 00:00:00,2024-08-24,2023-10-12,2024-10-11,0.0,0.0,8050.0,8050.0,8.99342737041261
TAG/TPCL/038/23,TAG/MTT/0893/0923,03-90878OR,July_2024,Public_Transport,Automobile,Automobile,Collision,Addisu Gebeya,0.0,7.0,365.0,0,TP_ONLY,2023-12-16 00:00:00,2023-12-23,2023-09-10,2024-09-09,0.0,0.0,10575.0,10575.0,9.26624800391448
TAG/TPCL/042/24,TAG/MTC/0872/0823,03-A29598ET,April_2025,Commercial,Truck,Mixer,Collision,Addisu Gebeya,0.0,1.0,364.0,0,TP_ONLY,2024-09-04 00:00:00,2024-09-05,2024-07-18,2025-07-17,0.0,0.0,10426.08,10426.08,9.252065638423494
TAG/TPCL/043/24, TAG/MTT/0872/0823 ,03-A29600ET,January_2025,Commercial,Truck,China/Mixer,Collision,Addisu Gebeya,0.0,1.0,,0,TP_ONLY,2024-11-01 00:00:00,2024-11-02,2024-07-13,,0.0,15049.69,94076.01,109125.7,11.600255707783417
TAGTPCL/003/25,TAG/MTC/1148/1124,03-B85249AA,February_2025,Public_Transport,Automobile,Automobile,Collision,Addisu Gebeya,0.0,,688.0,0,TP_ONLY,2025-01-02 00:00:00,,2024-01-12,2025-11-30,0.0,0.0,63130.43,63130.43,11.05295818268015
TAK/MTC/002/24,TAK/MTC/2958/0323,03-A03752/31858ET,October_2024,Commercial,Truck,Tanker/Trailer,Collision,Arat Kilo,10000000.0,158.0,334.0,1,COMPREHENSIVE,2024-06-01 00:00:00,2024-11-06,2024-11-03,2025-10-03,1588387.0,0.0,0.0,1588387.0,14.278229593869302
TAK/MTC/003/22,TAK/MTC/0283/0619,03-A70514 AA,July_2024,Commercial,Automobile,Automobile,Collision,Arat Kilo,3700000.0,0.0,364.0,1,COMPREHENSIVE,2022-02-04 00:00:00,2022-02-04,2021-06-07,2022-06-06,59767.0,0.0,0.0,59767.0,10.998208948154405
TAK/MTP/001/22,TAK/MTC/0166/1218,03-A72181 AA,April_2025,Public_Transport,Automobile,Automobile,Collision,Arat Kilo,800000.0,1.0,364.0,1,COMPREHENSIVE,2022-01-04 00:00:00,2022-01-05,2021-12-25,2022-12-24,3678.61,0.0,0.0,3678.61,8.210290242418491
TAK/MTP/001/24,TAK/MTP/0854/1120,02-B68069AA,July_2024,Private,Automobile,Automobile,Collision,Arat Kilo,1500000.0,1.0,365.0,1,COMPREHENSIVE,2024-01-12 00:00:00,2024-01-13,2023-11-24,2024-11-23,3000.0,0.0,0.0,3000.0,8.006367567650246
TAK/MTP/001/25,TAK/MTP/3598/0624,02-B52858 AA,April_2025,Commercial,Pick_Up,Pick Up,Collision,Arat Kilo,1150000.0,4.0,364.0,1,COMPREHENSIVE,2025-02-14 00:00:00,2025-02-18,2024-06-26,2025-06-25,47100.0,0.0,0.0,47100.0,10.760028280004509
TAK/MTP/002/24,TAK/MTP/2888/0223,03-B58620AA,July_2024,Public_Transport,Automobile,Automobile,Collision,Arat Kilo,1300000.0,1.0,365.0,1,COMPREHENSIVE,2024-01-24 00:00:00,2024-01-25,2023-06-03,2024-06-02,345000.0,0.0,0.0,345000.0,12.751299696013495
